mRNA	CKR
LOC_Os01g01010	4
LOC_Os01g01019	0.7
LOC_Os01g01030	12.5
LOC_Os01g01040	15.9
LOC_Os01g01050	11.5
LOC_Os01g01060	55.6
LOC_Os01g01070	4.3
LOC_Os01g01080	14.6
LOC_Os01g01090	0
LOC_Os01g01100	0
LOC_Os01g01110	0
LOC_Os01g01115	2.4
LOC_Os01g01130	5.7
LOC_Os01g01120	6.6
LOC_Os01g01140	1.8
LOC_Os01g01150	16.6
LOC_Os01g01160	3.1
LOC_Os01g01170	1.9
LOC_Os01g01180	0
LOC_Os01g01190	6.7
LOC_Os01g01200	0
LOC_Os01g01210	0
LOC_Os01g01230	0
LOC_Os01g01240	0
LOC_Os01g01250	0
LOC_Os01g01260	0
LOC_Os01g01270	0
LOC_Os01g01280	1.8
LOC_Os01g01290	0
LOC_Os01g01295	14.3
LOC_Os01g01302	1.5
LOC_Os01g01307	29.6
LOC_Os01g01312	5.6
LOC_Os01g01320	0
LOC_Os01g01330	1.5
LOC_Os01g01340	7.8
LOC_Os01g01350	4.9
LOC_Os01g01360	2.3
LOC_Os01g01369	19.4
LOC_Os01g01380	1
LOC_Os01g01390	9.2
LOC_Os01g01410	7.3
LOC_Os01g01400	2.8
LOC_Os01g01420	4.9
LOC_Os01g01430	7
LOC_Os01g01440	0.5
LOC_Os01g01450	77.1
LOC_Os01g01460	0
LOC_Os01g01470	0
LOC_Os01g01484	1.6
LOC_Os01g01500	0
LOC_Os01g01510	6.9
LOC_Os01g01520	14.5
LOC_Os01g01530	0
LOC_Os01g01540	0
LOC_Os01g01550	0
LOC_Os01g01560	7.2
LOC_Os01g01570	13.2
LOC_Os01g01580	1.2
LOC_Os01g01590	0
LOC_Os01g01600	0.7
LOC_Os01g01610	0
LOC_Os01g01620	49.9
LOC_Os01g01640	18.7
LOC_Os01g01650	2.4
LOC_Os01g01660	16.4
LOC_Os01g01670	7.5
LOC_Os01g01680	1.6
LOC_Os01g01689	2.1
LOC_Os01g01700	20.2
LOC_Os01g01710	7
LOC_Os01g01720	5.9
LOC_Os01g01730	0
LOC_Os01g01740	9.1
LOC_Os01g01760	0
LOC_Os01g01770	0
LOC_Os01g01780	0.8
LOC_Os01g01790	10.8
LOC_Os01g01800	3.9
LOC_Os01g01810	0
LOC_Os01g01830	5.7
LOC_Os01g01840	0
LOC_Os01g01850	0
LOC_Os01g01860	0
LOC_Os01g01870	9.1
LOC_Os01g01880	0
LOC_Os01g01890	8.3
LOC_Os01g01900	0
LOC_Os01g01910	7.7
LOC_Os01g01920	1.7
LOC_Os01g01925	0
LOC_Os01g01930	1.2
LOC_Os01g01940	0
LOC_Os01g01950	1.3
LOC_Os01g01960	32.1
LOC_Os01g01970	5.6
LOC_Os01g01980	0
LOC_Os01g01990	0
LOC_Os01g02010	32.3
LOC_Os01g02000	1.3
LOC_Os01g02020	10.6
LOC_Os01g02040	6.9
LOC_Os01g02050	0.1
LOC_Os01g02060	0.5
LOC_Os01g02080	3.7
LOC_Os01g02070	0
LOC_Os01g02090	29.5
LOC_Os01g02100	6.8
LOC_Os01g02110	4.6
LOC_Os01g02120	0
LOC_Os01g02130	3.5
LOC_Os01g02139	27
LOC_Os01g02150	108.2
LOC_Os01g02160	11.2
LOC_Os01g02170	2.4
LOC_Os01g02180	2
LOC_Os01g02190	1.5
LOC_Os01g02200	20.4
LOC_Os01g02210	0
LOC_Os01g02220	0
LOC_Os01g02230	0
LOC_Os01g02240	0
LOC_Os01g02250	0.2
LOC_Os01g02260	0
LOC_Os01g02270	0
LOC_Os01g02280	0
LOC_Os01g02290	11.2
LOC_Os01g02300	6.7
LOC_Os01g02310	1.7
LOC_Os01g02320	1.2
LOC_Os01g02334	7.4
LOC_Os01g02350	6.7
LOC_Os01g02360	1.9
LOC_Os01g02370	0
LOC_Os01g02380	0
LOC_Os01g02390	7.3
LOC_Os01g02400	0.9
LOC_Os01g02410	0
LOC_Os01g02420	0.8
LOC_Os01g02430	0
LOC_Os01g02440	0
LOC_Os01g02450	0
LOC_Os01g02460	0
LOC_Os01g02470	0
LOC_Os01g02480	0
LOC_Os01g02490	0.6
LOC_Os01g02500	4
LOC_Os01g02510	1.1
LOC_Os01g02520	0
LOC_Os01g02530	0
LOC_Os01g02540	0
LOC_Os01g02550	0
LOC_Os01g02560	0.2
LOC_Os01g02570	0
LOC_Os01g02580	0
LOC_Os01g02590	4.1
LOC_Os01g02600	0.3
LOC_Os01g02610	0
LOC_Os01g02629	0
LOC_Os01g02650	0
LOC_Os01g02660	0
LOC_Os01g02670	0
LOC_Os01g02680	0
LOC_Os01g02690	0.4
LOC_Os01g02700	0.6
LOC_Os01g02710	0
LOC_Os01g02720	3.1
LOC_Os01g02730	1.5
LOC_Os01g02740	0.6
LOC_Os01g02750	0.9
LOC_Os01g02760	0
LOC_Os01g02770	0.7
LOC_Os01g02780	0
LOC_Os01g02790	0
LOC_Os01g02800	0
LOC_Os01g02810	0
LOC_Os01g02830	0
LOC_Os01g02840	0
LOC_Os01g02850	1.7
LOC_Os01g02860	0
LOC_Os01g02870	1.2
LOC_Os01g02880	56.1
LOC_Os01g02884	10.1
LOC_Os01g02890	2.7
LOC_Os01g02900	38
LOC_Os01g02910	2.7
LOC_Os01g02920	69.9
LOC_Os01g02930	11.5
LOC_Os01g02940	25.8
LOC_Os01g02950	0
LOC_Os01g02960	12.6
LOC_Os01g02970	0
LOC_Os01g02980	0
LOC_Os01g02990	0
LOC_Os01g02999	0
LOC_Os01g03010	0
LOC_Os01g03020	2.3
LOC_Os01g03030	7.1
LOC_Os01g03040	1.9
LOC_Os01g03050	7.2
LOC_Os01g03060	36.6
LOC_Os01g03070	44.3
LOC_Os01g03080	1.7
LOC_Os01g03100	5.3
LOC_Os01g03090	10.8
LOC_Os01g03110	9
LOC_Os01g03119	0
LOC_Os01g03130	4.5
LOC_Os01g03144	4.5
LOC_Os01g03160	8.4
LOC_Os01g03170	0
LOC_Os01g03180	0
LOC_Os01g03190	0
LOC_Os01g03200	0
LOC_Os01g03210	0
LOC_Os01g03220	0
LOC_Os01g03230	0
LOC_Os01g03240	0
LOC_Os01g03250	0
LOC_Os01g03260	0
LOC_Os01g03270	0
LOC_Os01g03280	0
LOC_Os01g03290	0
LOC_Os01g03300	0
LOC_Os01g03310	0
LOC_Os01g03320	2.6
LOC_Os01g03330	70.3
LOC_Os01g03340	316
LOC_Os01g03350	0
LOC_Os01g03360	239.6
LOC_Os01g03370	0
LOC_Os01g03380	0
LOC_Os01g03390	61.2
LOC_Os01g03400	0
LOC_Os01g03410	0
LOC_Os01g03420	0
LOC_Os01g03429	0
LOC_Os01g03440	0
LOC_Os01g03452	0
LOC_Os01g03464	0
LOC_Os01g03480	0
LOC_Os01g03490	21.5
LOC_Os01g03500	5.9
LOC_Os01g03510	12.2
LOC_Os01g03520	14.7
LOC_Os01g03530	1.1
LOC_Os01g03549	0.3
LOC_Os01g03570	0.5
LOC_Os01g03580	0
LOC_Os01g03590	0
LOC_Os01g03600	0
LOC_Os01g03610	0
LOC_Os01g03620	23.7
LOC_Os01g03630	0.8
LOC_Os01g03640	0.2
LOC_Os01g03650	5.7
LOC_Os01g03660	0.7
LOC_Os01g03670	0
LOC_Os01g03680	327.7
LOC_Os01g03690	4.2
LOC_Os01g03710	2.3
LOC_Os01g03720	1.9
LOC_Os01g03740	0.6
LOC_Os01g03730	0.8
LOC_Os01g03750	4.9
LOC_Os01g03760	31
LOC_Os01g03770	0
LOC_Os01g03780	0
LOC_Os01g03790	0
LOC_Os01g03800	0
LOC_Os01g03810	14.7
LOC_Os01g03820	10.3
LOC_Os01g03830	0.1
LOC_Os01g03840	0
LOC_Os01g03850	0
LOC_Os01g03860	0
LOC_Os01g03870	7.2
LOC_Os01g03880	0
LOC_Os01g03890	1.6
LOC_Os01g03900	0
LOC_Os01g03914	12.5
LOC_Os01g03930	0
LOC_Os01g03940	8.8
LOC_Os01g03950	23.4
LOC_Os01g03960	0
LOC_Os01g03970	0
LOC_Os01g03980	4.9
LOC_Os01g03989	0
LOC_Os01g04000	0
LOC_Os01g04005	0
LOC_Os01g04010	101.3
LOC_Os01g04020	127.8
LOC_Os01g04030	3.4
LOC_Os01g04040	0
LOC_Os01g04050	63.7
LOC_Os01g04070	0
LOC_Os01g04080	0
LOC_Os01g04090	0
LOC_Os01g04100	1.9
LOC_Os01g04110	0.9
LOC_Os01g04120	7.1
LOC_Os01g04130	1.4
LOC_Os01g04140	0
LOC_Os01g04150	0
LOC_Os01g04160	8.5
LOC_Os01g04170	2.4
LOC_Os01g04180	0
LOC_Os01g04190	22
LOC_Os01g04200	3.5
LOC_Os01g04210	0.6
LOC_Os01g04220	1.5
LOC_Os01g04230	6.8
LOC_Os01g04250	0.6
LOC_Os01g04260	10.4
LOC_Os01g04270	0
LOC_Os01g04280	44.2
LOC_Os01g04290	0
LOC_Os01g04300	33.2
LOC_Os01g04310	0
LOC_Os01g04320	0
LOC_Os01g04324	1.6
LOC_Os01g04330	29.3
LOC_Os01g04340	0
LOC_Os01g04350	29
LOC_Os01g04360	0
LOC_Os01g04370	0
LOC_Os01g04380	0
LOC_Os01g04390	3.2
LOC_Os01g04409	12.8
LOC_Os01g04430	12.4
LOC_Os01g04440	8.1
LOC_Os01g04450	4.1
LOC_Os01g04460	2
LOC_Os01g04470	0.3
LOC_Os01g04480	0.3
LOC_Os01g04500	2.4
LOC_Os01g04490	0.5
LOC_Os01g04510	0
LOC_Os01g04520	0.3
LOC_Os01g04530	1.1
LOC_Os01g04540	0.4
LOC_Os01g04550	0
LOC_Os01g04560	0
LOC_Os01g04570	1.1
LOC_Os01g04580	15.2
LOC_Os01g04590	0
LOC_Os01g04600	0
LOC_Os01g04610	0
LOC_Os01g04620	37.2
LOC_Os01g04630	32.3
LOC_Os01g04640	2.9
LOC_Os01g04650	98.1
LOC_Os01g04660	0.2
LOC_Os01g04670	1
LOC_Os01g04680	0
LOC_Os01g04690	1.2
LOC_Os01g04699	0
LOC_Os01g04710	27.7
LOC_Os01g04720	7.2
LOC_Os01g04730	82.5
LOC_Os01g04740	0
LOC_Os01g04750	3
LOC_Os01g04760	0
LOC_Os01g04770	0
LOC_Os01g04780	0
LOC_Os01g04790	0
LOC_Os01g04800	43.9
LOC_Os01g04814	21.4
LOC_Os01g04830	0
LOC_Os01g04840	0.2
LOC_Os01g04850	0
LOC_Os01g04860	1.2
LOC_Os01g04870	2.2
LOC_Os01g04900	1
LOC_Os01g04880	6.3
LOC_Os01g04910	2.9
LOC_Os01g04920	2.2
LOC_Os01g04930	34.6
LOC_Os01g04950	17.9
LOC_Os01g04960	0
LOC_Os01g04970	0
LOC_Os01g04980	0
LOC_Os01g04990	4.4
LOC_Os01g05000	0
LOC_Os01g05010	17.8
LOC_Os01g05020	0
LOC_Os01g05030	0
LOC_Os01g05040	0
LOC_Os01g05050	0
LOC_Os01g05060	9.1
LOC_Os01g05064	48.2
LOC_Os01g05070	12.5
LOC_Os01g05080	3.2
LOC_Os01g05100	1.1
LOC_Os01g05090	2.6
LOC_Os01g05105	2.4
LOC_Os01g05120	0.4
LOC_Os01g05130	7.7
LOC_Os01g05140	6.1
LOC_Os01g05150	0
LOC_Os01g05160	0
LOC_Os01g05170	1.2
LOC_Os01g05180	0.8
LOC_Os01g05200	0
LOC_Os01g05210	0
LOC_Os01g05220	0
LOC_Os01g05230	1.8
LOC_Os01g05240	0
LOC_Os01g05250	0
LOC_Os01g05260	0
LOC_Os01g05280	0
LOC_Os01g05289	1.9
LOC_Os01g05300	0
LOC_Os01g05310	0
LOC_Os01g05320	0
LOC_Os01g05330	0
LOC_Os01g05340	0
LOC_Os01g05350	0
LOC_Os01g05360	0
LOC_Os01g05370	0
LOC_Os01g05380	0
LOC_Os01g05390	0
LOC_Os01g05400	0
LOC_Os01g05410	0
LOC_Os01g05420	26
LOC_Os01g05430	3
LOC_Os01g05440	0
LOC_Os01g05450	0
LOC_Os01g05460	0
LOC_Os01g05470	21.6
LOC_Os01g05480	0
LOC_Os01g05490	40
LOC_Os01g05500	17.2
LOC_Os01g05510	2.4
LOC_Os01g05520	0
LOC_Os01g05530	6.9
LOC_Os01g05540	13.6
LOC_Os01g05550	0
LOC_Os01g05560	13.9
LOC_Os01g05570	0
LOC_Os01g05580	0
LOC_Os01g05585	0
LOC_Os01g05590	0
LOC_Os01g05600	0.3
LOC_Os01g05610	12
LOC_Os01g05620	0.6
LOC_Os01g05630	5.2
LOC_Os01g05640	0.2
LOC_Os01g05650	18.8
LOC_Os01g05660	4.3
LOC_Os01g05670	17.2
LOC_Os01g05680	4.1
LOC_Os01g05694	2
LOC_Os01g05710	1.1
LOC_Os01g05720	1.5
LOC_Os01g05730	0
LOC_Os01g05744	0.2
LOC_Os01g05760	0
LOC_Os01g05770	0
LOC_Os01g05780	0
LOC_Os01g05790	33.4
LOC_Os01g05800	5
LOC_Os01g05810	8.5
LOC_Os01g05820	2.1
LOC_Os01g05830	4.1
LOC_Os01g05840	1
LOC_Os01g05850	1.6
LOC_Os01g05860	1.6
LOC_Os01g05870	0.2
LOC_Os01g05880	1.4
LOC_Os01g05890	0
LOC_Os01g05900	1.9
LOC_Os01g05940	1.1
LOC_Os01g05960	0.7
LOC_Os01g05970	4.6
LOC_Os01g05980	0
LOC_Os01g06000	1.8
LOC_Os01g06010	28.5
LOC_Os01g06020	1.8
LOC_Os01g06030	0
LOC_Os01g06040	0
LOC_Os01g06050	13.5
LOC_Os01g06060	1.2
LOC_Os01g06070	0
LOC_Os01g06080	0
LOC_Os01g06090	0
LOC_Os01g06100	0
LOC_Os01g06110	0
LOC_Os01g06120	0
LOC_Os01g06130	0
LOC_Os01g06140	0
LOC_Os01g06150	0.4
LOC_Os01g06160	0
LOC_Os01g06170	0
LOC_Os01g06180	0
LOC_Os01g06200	0
LOC_Os01g06210	0
LOC_Os01g06220	38.2
LOC_Os01g06230	0
LOC_Os01g06240	0
LOC_Os01g06250	4.9
LOC_Os01g06260	0
LOC_Os01g06270	6.3
LOC_Os01g06290	42.5
LOC_Os01g06280	22.7
LOC_Os01g06300	0
LOC_Os01g06310	0.5
LOC_Os01g06320	0
LOC_Os01g06330	0
LOC_Os01g06340	0
LOC_Os01g06350	0
LOC_Os01g06360	0
LOC_Os01g06370	0
LOC_Os01g06380	0
LOC_Os01g06390	0
LOC_Os01g06400	0
LOC_Os01g06410	0
LOC_Os01g06420	0
LOC_Os01g06430	0
LOC_Os01g06440	1.1
LOC_Os01g06450	6.5
LOC_Os01g06454	0.6
LOC_Os01g06460	27.7
LOC_Os01g06470	11.7
LOC_Os01g06490	18
LOC_Os01g06500	1.4
LOC_Os01g06510	5.3
LOC_Os01g06520	7.2
LOC_Os01g06530	0.2
LOC_Os01g06540	0
LOC_Os01g06550	7.2
LOC_Os01g06560	10.5
LOC_Os01g06570	0
LOC_Os01g06580	29.7
LOC_Os01g06590	13.1
LOC_Os01g06600	13.1
LOC_Os01g06610	0
LOC_Os01g06620	0
LOC_Os01g06630	0
LOC_Os01g06640	14
LOC_Os01g06650	0
LOC_Os01g06660	6.3
LOC_Os01g06670	0
LOC_Os01g06680	2.4
LOC_Os01g06690	0
LOC_Os01g06700	0
LOC_Os01g06710	0
LOC_Os01g06720	0
LOC_Os01g06730	1
LOC_Os01g06740	4.8
LOC_Os01g06750	0
LOC_Os01g06760	0
LOC_Os01g06770	0
