mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os01g01030,12.5,0.0,0.07407407407407407,-3.7548875021634687
LOC_Os01g01060,55.6,8.5,0.16784452296819788,-2.5748026345009345
LOC_Os01g01070,4.3,0.3,0.24528301886792456,-2.027480736422107
LOC_Os01g01130,5.7,0.5,0.22388059701492538,-2.159198594849254
LOC_Os01g01150,16.6,3.2,0.23863636363636362,-2.067114195858537
LOC_Os01g01160,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os01g01190,6.7,0.0,0.12987012987012986,-2.9448584458075393
LOC_Os01g01340,7.8,0.8,0.20454545454545453,-2.289506617194985
LOC_Os01g01350,4.9,0.0,0.1694915254237288,-2.560714954474479
LOC_Os01g01390,9.2,0.0,0.09803921568627452,-3.350497247084133
LOC_Os01g01450,77.1,4.0,0.06402048655569782,-3.9653225483672547
LOC_Os01g01510,6.9,0.2,0.15189873417721517,-2.718818247455947
LOC_Os01g01520,14.5,1.3,0.14838709677419354,-2.752562449217225
LOC_Os01g01570,13.2,2.1,0.2183098591549296,-2.195550809117807
LOC_Os01g01740,9.1,0.0,0.09900990099009901,-3.3362833878644325
LOC_Os01g01890,8.3,0.0,0.1075268817204301,-3.2172307162206693
LOC_Os01g01910,7.7,0.0,0.1149425287356322,-3.1210154009613658
LOC_Os01g02010,32.3,4.3,0.15915915915915918,-2.6514579125080626
LOC_Os01g02080,3.7,0.0,0.2127659574468085,-2.232660756790275
LOC_Os01g02110,4.6,0.0,0.17857142857142858,-2.4854268271702415
LOC_Os01g02960,12.6,1.0,0.14705882352941177,-2.765534746362977
LOC_Os01g03070,44.3,6.4,0.163355408388521,-2.613913874417285
LOC_Os01g03500,5.9,0.0,0.14492753623188406,-2.7865963618908065
LOC_Os01g03620,23.7,4.5,0.22267206477732795,-2.167007518060018
LOC_Os01g03810,14.7,0.0,0.06369426751592357,-3.972692654004265
LOC_Os01g03820,10.3,0.9,0.16814159292035397,-2.572251448971602
LOC_Os01g03950,23.4,0.3,0.05327868852459017,-4.230297619421794
LOC_Os01g04160,8.5,1.3,0.2421052631578947,-2.0462936522739352
LOC_Os01g04190,22.0,2.7,0.16086956521739132,-2.636036685315425
LOC_Os01g04390,3.2,0.0,0.23809523809523808,-2.070389327891398
LOC_Os01g04630,32.3,5.1,0.1831831831831832,-2.448641029508376
LOC_Os01g04710,27.7,4.9,0.20557491289198607,-2.2822638773138464
LOC_Os01g04720,7.2,1.0,0.24390243902439027,-2.035623909730721
LOC_Os01g04990,4.4,0.0,0.18518518518518517,-2.4329594072761065
LOC_Os01g05010,17.8,1.2,0.11702127659574468,-3.0951572330403403
LOC_Os01g05080,3.2,0.0,0.23809523809523808,-2.070389327891398
LOC_Os01g05470,21.6,2.0,0.1327433628318584,-2.913288366806669
LOC_Os01g05530,6.9,0.9,0.24050632911392403,-2.0558532347335174
LOC_Os01g05660,4.3,0.0,0.18867924528301888,-2.4059923596758366
LOC_Os01g05670,17.2,3.3,0.23626373626373626,-2.0815298854965985
LOC_Os01g05680,4.1,0.0,0.19607843137254904,-2.350497247084133
LOC_Os01g06010,28.5,5.5,0.22033898305084745,-2.182203331220749
LOC_Os01g06050,13.5,0.9,0.13103448275862067,-2.9319815765713493
LOC_Os01g06250,4.9,0.0,0.1694915254237288,-2.560714954474479
LOC_Os01g06270,6.3,0.8,0.24657534246575344,-2.019899557437705
LOC_Os01g06280,22.7,4.3,0.22362869198312235,-2.16082279433506
LOC_Os01g06490,18.0,2.4,0.17894736842105263,-2.4823927670806083
LOC_Os01g06520,7.2,0.8,0.21951219512195125,-2.187627003175771
LOC_Os01g06910,3.3,0.0,0.23255813953488372,-2.1043366598147357
LOC_Os01g06990,14.9,0.0,0.06289308176100629,-3.990954860396993
LOC_Os01g07030,9.3,0.0,0.0970873786407767,-3.364572432295856
LOC_Os01g07040,4.1,0.0,0.19607843137254904,-2.350497247084133
LOC_Os01g07050,9.0,0.0,0.1,-3.321928094887362
LOC_Os01g07060,34.3,0.0,0.028328611898017,-5.141596278383818
LOC_Os01g07090,5.1,0.5,0.24590163934426232,-2.0238467419543675
LOC_Os01g07150,6.8,0.0,0.12820512820512822,-2.9634741239748856
LOC_Os01g07240,18.2,1.2,0.11458333333333334,-3.1255308820838588
LOC_Os01g07250,7.3,0.9,0.22891566265060237,-2.1271119179033393
LOC_Os01g07370,32.9,4.0,0.14749262536873156,-2.761285273361619
LOC_Os01g07376,9.6,1.2,0.2075471698113208,-2.2684888359259014
LOC_Os01g07420,26.5,0.6,0.05818181818181818,-4.103287808412022
LOC_Os01g07450,4.7,0.0,0.17543859649122806,-2.5109619192773796
LOC_Os01g07500,13.1,1.8,0.19858156028368792,-2.3321964303411895
LOC_Os01g07560,36.2,4.7,0.1532258064516129,-2.7062687969432897
LOC_Os01g07570,5.1,0.3,0.21311475409836067,-2.230297619421794
LOC_Os01g07630,9.5,0.3,0.12380952380952381,-3.0138057995250302
LOC_Os01g07760,96.5,14.0,0.15384615384615385,-2.700439718141092
LOC_Os01g07770,14.5,0.9,0.12258064516129032,-3.0281968918306523
LOC_Os01g07780,41.7,3.2,0.09836065573770492,-3.34577483684173
LOC_Os01g07890,5.7,0.0,0.14925373134328357,-2.7441610955704103
LOC_Os01g07910,6.9,0.4,0.1772151898734177,-2.496425826119499
LOC_Os01g08130,10.6,0.0,0.08620689655172414,-3.5360529002402097
LOC_Os01g08140,13.6,0.0,0.0684931506849315,-3.867896463992655
LOC_Os01g08150,14.8,0.0,0.06329113924050632,-3.981852653289741
LOC_Os01g08170,13.6,2.5,0.2397260273972603,-2.060541541935051
LOC_Os01g08220,3.9,0.0,0.2040816326530612,-2.292781749227846
LOC_Os01g08790,5.8,0.0,0.14705882352941177,-2.765534746362977
LOC_Os01g08810,8.9,0.0,0.10101010101010101,-3.3074285251922473
LOC_Os01g08820,3.5,0.0,0.2222222222222222,-2.1699250014423126
LOC_Os01g08880,5.7,0.0,0.14925373134328357,-2.7441610955704103
LOC_Os01g09450,5.9,0.0,0.14492753623188406,-2.7865963618908065
LOC_Os01g09510,76.5,8.3,0.12000000000000001,-3.0588936890535683
LOC_Os01g09540,60.8,0.0,0.016181229773462785,-5.949534933017012
LOC_Os01g09580,5.4,0.0,0.15625,-2.678071905112638
LOC_Os01g09700,3.2,0.0,0.23809523809523808,-2.070389327891398
LOC_Os01g09790,6.9,0.6,0.20253164556962025,-2.303780748177103
LOC_Os01g09860,12.6,1.8,0.20588235294117646,-2.2801079191927354
LOC_Os01g09870,6.4,0.0,0.13513513513513511,-2.8875252707415875
LOC_Os01g09880,44.9,1.1,0.04575163398692811,-4.4500329206350475
LOC_Os01g09890,21.3,2.0,0.13452914798206278,-2.894009304311786
LOC_Os01g10430,6.0,0.5,0.21428571428571427,-2.222392421336448
LOC_Os01g10460,3.8,0.0,0.20833333333333334,-2.263034405833794
LOC_Os01g10820,31.5,6.9,0.24307692307692308,-2.040515159738714
LOC_Os01g10850,7.4,0.0,0.11904761904761904,-3.070389327891398
LOC_Os01g10880,5.7,0.0,0.14925373134328357,-2.7441610955704103
LOC_Os01g10930,6.2,0.7,0.2361111111111111,-2.082462160191973
LOC_Os01g11010,26.3,2.4,0.12454212454212453,-3.0052942996695133
LOC_Os01g11230,41.4,6.7,0.18160377358490568,-2.4611339138682977
LOC_Os01g11350,10.0,0.0,0.09090909090909091,-3.4594316186372973
LOC_Os01g11414,42.6,3.6,0.1055045871559633,-3.2446223687199134
LOC_Os01g11550,5.9,0.0,0.14492753623188406,-2.7865963618908065
LOC_Os01g11700,9.2,0.0,0.09803921568627452,-3.350497247084133
LOC_Os01g11730,5.0,0.0,0.16666666666666666,-2.584962500721156
LOC_Os01g11750,4.8,0.0,0.1724137931034483,-2.5360529002402097
LOC_Os01g11760,11.3,0.8,0.14634146341463414,-2.7725895038969277
