mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os01g01010,4.0,0.4,0.27999999999999997,-1.8365012677171206
LOC_Os01g01019,0.7,1.3,1.352941176470588,0.4360991148066733
LOC_Os01g01030,12.5,0.0,0.07407407407407407,-3.7548875021634687
LOC_Os01g01040,15.9,3.6,0.27218934911242604,-1.8773174802251715
LOC_Os01g01050,11.5,3.1,0.32799999999999996,-1.6082322800440034
LOC_Os01g01060,55.6,8.5,0.16784452296819788,-2.5748026345009345
LOC_Os01g01070,4.3,0.3,0.24528301886792456,-2.027480736422107
LOC_Os01g01080,14.6,13.0,0.8974358974358975,-0.15611920191728185
LOC_Os01g01090,0.0,0.0,1.0,0.0
LOC_Os01g01100,0.0,0.0,1.0,0.0
LOC_Os01g01110,0.0,0.0,1.0,0.0
LOC_Os01g01115,2.4,0.0,0.29411764705882354,-1.765534746362977
LOC_Os01g01130,5.7,0.5,0.22388059701492538,-2.159198594849254
LOC_Os01g01120,6.6,1.1,0.27631578947368424,-1.855610090664825
LOC_Os01g01140,1.8,0.0,0.35714285714285715,-1.4854268271702418
LOC_Os01g01150,16.6,3.2,0.23863636363636362,-2.067114195858537
LOC_Os01g01160,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os01g01170,1.9,0.0,0.3448275862068966,-1.5360529002402097
LOC_Os01g01180,0.0,0.0,1.0,0.0
LOC_Os01g01190,6.7,0.0,0.12987012987012986,-2.9448584458075393
LOC_Os01g01200,0.0,0.0,1.0,0.0
LOC_Os01g01210,0.0,0.0,1.0,0.0
LOC_Os01g01230,0.0,0.0,1.0,0.0
LOC_Os01g01240,0.0,0.0,1.0,0.0
LOC_Os01g01250,0.0,0.0,1.0,0.0
LOC_Os01g01260,0.0,0.0,1.0,0.0
LOC_Os01g01270,0.0,0.0,1.0,0.0
LOC_Os01g01280,1.8,70.8,25.642857142857142,4.680485111765448
LOC_Os01g01290,0.0,0.0,1.0,0.0
LOC_Os01g01295,14.3,26.0,1.7647058823529411,0.819427754358179
LOC_Os01g01302,1.5,0.0,0.4,-1.3219280948873622
LOC_Os01g01307,29.6,10.9,0.3888888888888889,-1.3625700793847082
LOC_Os01g01312,5.6,1.0,0.30303030303030304,-1.722466024471091
LOC_Os01g01320,0.0,0.0,1.0,0.0
LOC_Os01g01330,1.5,0.0,0.4,-1.3219280948873622
LOC_Os01g01340,7.8,0.8,0.20454545454545453,-2.289506617194985
LOC_Os01g01350,4.9,0.0,0.1694915254237288,-2.560714954474479
LOC_Os01g01360,2.3,8.4,2.8484848484848486,1.510194732319184
LOC_Os01g01369,19.4,4.6,0.27450980392156865,-1.8650704199138914
LOC_Os01g01380,1.0,0.0,0.5,-1.0
LOC_Os01g01390,9.2,0.0,0.09803921568627452,-3.350497247084133
LOC_Os01g01410,7.3,3.3,0.5180722891566264,-0.9487746766448271
LOC_Os01g01400,2.8,1.3,0.6052631578947368,-0.7243655573865726
LOC_Os01g01420,4.9,4.4,0.9152542372881356,-0.1277555471983727
LOC_Os01g01430,7.0,6.3,0.9125,-0.13210353600734515
LOC_Os01g01440,0.5,0.0,0.6666666666666666,-0.5849625007211563
LOC_Os01g01450,77.1,4.0,0.06402048655569782,-3.9653225483672547
LOC_Os01g01460,0.0,0.0,1.0,0.0
LOC_Os01g01470,0.0,0.0,1.0,0.0
LOC_Os01g01484,1.6,0.2,0.4615384615384615,-1.115477217419936
LOC_Os01g01500,0.0,0.0,1.0,0.0
LOC_Os01g01510,6.9,0.2,0.15189873417721517,-2.718818247455947
LOC_Os01g01520,14.5,1.3,0.14838709677419354,-2.752562449217225
LOC_Os01g01530,0.0,0.0,1.0,0.0
LOC_Os01g01540,0.0,0.0,1.0,0.0
LOC_Os01g01550,0.0,0.0,1.0,0.0
LOC_Os01g01560,7.2,1.1,0.25609756097560976,-1.9652345818393233
LOC_Os01g01570,13.2,2.1,0.2183098591549296,-2.195550809117807
LOC_Os01g01580,1.2,0.0,0.45454545454545453,-1.137503523749935
LOC_Os01g01590,0.0,0.0,1.0,0.0
LOC_Os01g01600,0.7,0.4,0.8235294117647058,-0.28010791919273537
LOC_Os01g01610,0.0,7.4,8.4,3.070389327891398
LOC_Os01g01620,49.9,24.9,0.5088408644400786,-0.9747135583891414
LOC_Os01g01640,18.7,7.0,0.40609137055837563,-1.300123724569014
LOC_Os01g01650,2.4,1.2,0.6470588235294118,-0.6280312226130421
LOC_Os01g01660,16.4,265.5,15.31609195402299,3.93697632179781
LOC_Os01g01670,7.5,1.5,0.29411764705882354,-1.765534746362977
LOC_Os01g01680,1.6,0.0,0.3846153846153846,-1.37851162325373
LOC_Os01g01689,2.1,0.5,0.48387096774193544,-1.0473057147783569
LOC_Os01g01700,20.2,4.3,0.25,-2.0
LOC_Os01g01710,7.0,1.9,0.3625,-1.4639470997597903
LOC_Os01g01720,5.9,2.7,0.5362318840579711,-0.8990710911492191
LOC_Os01g01730,0.0,0.0,1.0,0.0
LOC_Os01g01740,9.1,0.0,0.09900990099009901,-3.3362833878644325
LOC_Os01g01760,0.0,0.0,1.0,0.0
LOC_Os01g01770,0.0,0.0,1.0,0.0
LOC_Os01g01780,0.8,0.0,0.5555555555555556,-0.84799690655495
LOC_Os01g01790,10.8,6.1,0.6016949152542372,-0.7328959298571593
LOC_Os01g01800,3.9,8.2,1.877551020408163,0.9088521119418044
LOC_Os01g01810,0.0,0.0,1.0,0.0
LOC_Os01g01830,5.7,1.7,0.40298507462686567,-1.3112016882943038
LOC_Os01g01840,0.0,0.0,1.0,0.0
LOC_Os01g01850,0.0,0.0,1.0,0.0
LOC_Os01g01860,0.0,0.0,1.0,0.0
LOC_Os01g01870,9.1,2.3,0.32673267326732675,-1.6138173633933413
LOC_Os01g01880,0.0,0.0,1.0,0.0
LOC_Os01g01890,8.3,0.0,0.1075268817204301,-3.2172307162206693
LOC_Os01g01900,0.0,0.0,1.0,0.0
LOC_Os01g01910,7.7,0.0,0.1149425287356322,-3.1210154009613658
LOC_Os01g01920,1.7,0.6,0.5925925925925926,-0.7548875021634687
LOC_Os01g01925,0.0,0.0,1.0,0.0
LOC_Os01g01930,1.2,0.0,0.45454545454545453,-1.137503523749935
LOC_Os01g01940,0.0,0.0,1.0,0.0
LOC_Os01g01950,1.3,2.4,1.4782608695652175,0.5639008851933267
LOC_Os01g01960,32.1,24.4,0.7673716012084592,-0.382002720035052
LOC_Os01g01970,5.6,2.8,0.5757575757575758,-0.7964666059148678
LOC_Os01g01980,0.0,0.0,1.0,0.0
LOC_Os01g01990,0.0,0.0,1.0,0.0
LOC_Os01g02010,32.3,4.3,0.15915915915915918,-2.6514579125080626
LOC_Os01g02000,1.3,0.3,0.5652173913043479,-0.8231222379159205
LOC_Os01g02020,10.6,43.8,3.862068965517241,1.9493739269300319
LOC_Os01g02040,6.9,5.3,0.7974683544303797,-0.3265008246771866
LOC_Os01g02050,0.1,0.0,0.9090909090909091,-0.13750352374993496
LOC_Os01g02060,0.5,0.0,0.6666666666666666,-0.5849625007211563
LOC_Os01g02080,3.7,0.0,0.2127659574468085,-2.232660756790275
LOC_Os01g02070,0.0,0.0,1.0,0.0
LOC_Os01g02090,29.5,11.6,0.4131147540983606,-1.2753855089503323
LOC_Os01g02100,6.8,1.0,0.25641025641025644,-1.9634741239748859
LOC_Os01g02110,4.6,0.0,0.17857142857142858,-2.4854268271702415
LOC_Os01g02120,0.0,0.5,1.5,0.5849625007211562
LOC_Os01g02130,3.5,20.6,4.800000000000001,2.263034405833794
LOC_Os01g02139,27.0,9.2,0.36428571428571427,-1.456857674973471
LOC_Os01g02150,108.2,37.1,0.3489010989010989,-1.5191099534265304
LOC_Os01g02160,11.2,11.8,1.0491803278688525,0.06926266243711379
LOC_Os01g02170,2.4,0.3,0.3823529411764706,-1.3870231231092471
LOC_Os01g02180,2.0,0.4,0.4666666666666666,-1.0995356735509145
LOC_Os01g02190,1.5,0.0,0.4,-1.3219280948873622
LOC_Os01g02200,20.4,47.4,2.2616822429906542,1.1773962508734477
LOC_Os01g02210,0.0,0.0,1.0,0.0
LOC_Os01g02220,0.0,0.0,1.0,0.0
LOC_Os01g02230,0.0,0.0,1.0,0.0
LOC_Os01g02240,0.0,0.0,1.0,0.0
LOC_Os01g02250,0.2,0.0,0.8333333333333334,-0.2630344058337938
LOC_Os01g02260,0.0,0.0,1.0,0.0
LOC_Os01g02270,0.0,0.0,1.0,0.0
LOC_Os01g02280,0.0,0.0,1.0,0.0
LOC_Os01g02290,11.2,7.2,0.6721311475409836,-0.5731853329448027
LOC_Os01g02300,6.7,7.4,1.0909090909090908,0.12553088208385882
LOC_Os01g02310,1.7,0.0,0.37037037037037035,-1.4329594072761063
LOC_Os01g02320,1.2,0.7,0.7727272727272726,-0.3719687773869581
LOC_Os01g02334,7.4,6.0,0.8333333333333333,-0.26303440583379395
LOC_Os01g02350,6.7,3.4,0.5714285714285715,-0.807354922057604
LOC_Os01g02360,1.9,2.8,1.3103448275862069,0.38994651831601335
LOC_Os01g02370,0.0,0.0,1.0,0.0
LOC_Os01g02380,0.0,0.0,1.0,0.0
LOC_Os01g02390,7.3,42.5,5.240963855421686,2.3898321593891656
LOC_Os01g02400,0.9,0.9,1.0,0.0
LOC_Os01g02410,0.0,0.0,1.0,0.0
LOC_Os01g02420,0.8,0.0,0.5555555555555556,-0.84799690655495
LOC_Os01g02430,0.0,0.0,1.0,0.0
LOC_Os01g02440,0.0,0.0,1.0,0.0
LOC_Os01g02450,0.0,0.0,1.0,0.0
LOC_Os01g02460,0.0,0.0,1.0,0.0
LOC_Os01g02470,0.0,0.0,1.0,0.0
LOC_Os01g02480,0.0,0.0,1.0,0.0
LOC_Os01g02490,0.6,0.6,1.0,0.0
LOC_Os01g02500,4.0,0.9,0.38,-1.3959286763311392
LOC_Os01g02510,1.1,0.0,0.47619047619047616,-1.070389327891398
LOC_Os01g02520,0.0,0.0,1.0,0.0
LOC_Os01g02530,0.0,0.0,1.0,0.0
LOC_Os01g02540,0.0,0.0,1.0,0.0
LOC_Os01g02550,0.0,0.0,1.0,0.0
