mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os01g01280,1.8,70.8,25.642857142857142,4.680485111765448
LOC_Os01g01610,0.0,7.4,8.4,3.070389327891398
LOC_Os01g01660,16.4,265.5,15.31609195402299,3.93697632179781
LOC_Os01g02130,3.5,20.6,4.800000000000001,2.263034405833794
LOC_Os01g02390,7.3,42.5,5.240963855421686,2.3898321593891656
LOC_Os01g02920,69.9,293.3,4.150916784203103,2.053430009700879
LOC_Os01g03030,7.1,45.4,5.728395061728395,2.518130992242947
LOC_Os01g03530,1.1,104.5,50.238095238095234,5.650709860815787
LOC_Os01g04090,0.0,5.9,6.9,2.786596361890807
LOC_Os01g04100,1.9,34.6,12.275862068965518,3.6177524358388258
LOC_Os01g04290,0.0,3.6,4.6,2.2016338611696504
LOC_Os01g04340,0.0,92.1,93.1,6.540709262671431
LOC_Os01g04360,0.0,193.1,194.1,7.600656307826301
LOC_Os01g04370,0.0,276.1,277.1,8.114262900594055
LOC_Os01g04380,0.0,197.8,198.8,7.635173946674924
LOC_Os01g04580,15.2,162.1,10.067901234567902,3.3316910638272597
LOC_Os01g04620,37.2,350.6,9.204188481675393,3.2022905271076554
LOC_Os01g06310,0.5,19.9,13.933333333333332,3.8004685364723643
LOC_Os01g06590,13.1,88.4,6.340425531914894,2.6645796687845245
LOC_Os01g06740,4.8,498.0,86.0344827586207,6.426843105097051
LOC_Os01g07130,4.6,27.0,5.0,2.321928094887362
LOC_Os01g07300,13.2,317.5,22.429577464788732,4.4873305376389805
LOC_Os01g07730,4.8,51.7,9.086206896551724,3.1836781565096426
LOC_Os01g08440,2.3,115.0,35.151515151515156,5.135514970656481
LOC_Os01g08860,11.9,584.9,45.41860465116279,5.505211479184694
LOC_Os01g09020,9.3,48.3,4.7864077669902905,2.258943309194693
LOC_Os01g09090,0.0,3.1,4.1,2.035623909730721
LOC_Os01g09100,22.6,141.5,6.038135593220338,2.594103154577625
LOC_Os01g09220,27.3,140.4,4.996466431095406,2.3209081619775165
LOC_Os01g09260,1.3,18.3,8.391304347826088,3.0688950812110676
LOC_Os01g09900,0.0,5.0,6.0,2.584962500721156
LOC_Os01g10440,19.3,167.2,8.285714285714285,3.0506260730699677
LOC_Os01g10580,4.8,41.3,7.293103448275862,2.8665328579923774
LOC_Os01g11150,0.0,3.5,4.5,2.169925001442312
LOC_Os01g11340,16.9,166.4,9.351955307262571,3.2252680352860876
LOC_Os01g11460,0.0,4.4,5.4,2.4329594072761065
LOC_Os01g11600,2.4,301.5,88.97058823529412,6.47525658579898
LOC_Os01g11640,0.0,6.9,7.9,2.9818526532897405
LOC_Os01g12110,4.7,27.5,5.0,2.321928094887362
LOC_Os01g12520,0.0,19.6,20.6,4.364572432295856
LOC_Os01g12820,0.4,9.9,7.7857142857142865,2.9608294027193223
LOC_Os01g13950,0.0,14.1,15.1,3.9164766444377164
LOC_Os01g14110,48.5,275.1,5.577777777777778,2.4796904576210976
LOC_Os01g14440,55.2,404.0,7.2064056939501775,2.8492798724384234
LOC_Os01g15000,10.9,55.3,4.731092436974789,2.242173348772286
LOC_Os01g16120,0.0,26.9,27.9,4.802193216941825
LOC_Os01g16140,3.3,58.0,13.72093023255814,3.778306389547106
LOC_Os01g16170,1.7,15.9,6.259259259259259,2.6459919341187157
LOC_Os01g16220,4.5,22.8,4.327272727272727,2.1134580497832838
LOC_Os01g16230,4.9,31.3,5.47457627118644,2.4527473053320836
LOC_Os01g16310,0.4,62.7,45.50000000000001,5.507794640198696
LOC_Os01g16330,5.8,56.6,8.470588235294118,3.082462160191973
LOC_Os01g16810,2.4,18.6,5.764705882352942,2.527247002864869
LOC_Os01g17050,5.7,63.3,9.597014925373134,3.2625857368701747
LOC_Os01g18100,4.2,30.8,6.115384615384615,2.612443237143263
LOC_Os01g18490,0.0,9.8,10.8,3.4329594072761065
LOC_Os01g18530,1.3,38.8,17.304347826086957,4.113062664486636
LOC_Os01g19260,21.7,126.2,5.60352422907489,2.4863344679934403
LOC_Os01g19330,0.8,50.2,28.444444444444446,4.830074998557688
LOC_Os01g19740,7.9,179.4,20.269662921348313,4.3412501922889835
LOC_Os01g20206,29.3,149.9,4.98019801980198,2.3162031070537323
LOC_Os01g21120,3.8,84.6,17.833333333333332,4.15650448567999
LOC_Os01g22352,6.7,38.3,5.103896103896103,2.3515989615637047
LOC_Os01g23530,0.0,6.2,7.2,2.84799690655495
LOC_Os01g23580,3.7,26.1,5.76595744680851,2.527560189676234
LOC_Os01g24710,46.0,288.6,6.161702127659575,2.623328940518206
LOC_Os01g25100,0.0,16.3,17.3,4.112700132749362
LOC_Os01g27200,0.0,13.5,14.5,3.8579809951275723
LOC_Os01g27210,42.4,582.3,13.440092165898617,3.7484711263692856
LOC_Os01g27230,1.0,16.1,8.55,3.0959244199985356
LOC_Os01g27700,0.0,14.9,15.9,3.990954860396993
LOC_Os01g27860,0.0,6.1,7.1,2.8278190246173196
LOC_Os01g28680,8.1,40.7,4.582417582417583,2.1961089332459673
LOC_Os01g28980,0.0,3.2,4.2,2.070389327891398
LOC_Os01g29210,0.0,5.7,6.7,2.7441610955704103
LOC_Os01g31370,2.5,13.5,4.142857142857143,2.050626073069968
LOC_Os01g31450,0.0,22.3,23.3,4.542258049766918
LOC_Os01g32120,8.2,63.5,7.010869565217392,2.8095933942536035
LOC_Os01g32380,7.8,40.3,4.6931818181818175,2.230566352782148
LOC_Os01g32670,12.0,203.9,15.761538461538462,3.978336455982792
LOC_Os01g32780,2.0,39.7,13.566666666666668,3.7619943886577287
LOC_Os01g33500,0.0,7.9,8.9,3.1538053360790355
LOC_Os01g36060,0.8,7.7,4.833333333333333,2.273018494406416
LOC_Os01g36540,0.0,3.8,4.8,2.263034405833794
LOC_Os01g36790,0.2,33.8,29.0,4.857980995127572
LOC_Os01g37200,0.0,25.6,26.6,4.733354340613827
LOC_Os01g37630,0.0,134.4,135.4,7.081083928687635
LOC_Os01g37750,3.2,23.0,5.714285714285714,2.5145731728297585
LOC_Os01g37810,20.2,180.9,8.580188679245284,3.1010093730882873
LOC_Os01g38110,0.4,140.4,101.00000000000001,6.658211482751795
LOC_Os01g38560,0.0,9.4,10.4,3.37851162325373
LOC_Os01g38580,0.0,10.1,11.1,3.4724877714627436
LOC_Os01g39136,0.0,19.6,20.6,4.364572432295856
LOC_Os01g39880,0.0,5.4,6.4,2.678071905112638
LOC_Os01g40070,47.0,358.5,7.489583333333333,2.9048854597181415
LOC_Os01g40430,4.0,135.4,27.28,4.769771739249448
LOC_Os01g40630,11.6,64.9,5.230158730158731,2.3868547315081354
LOC_Os01g41050,0.2,8.7,8.083333333333334,3.0149503414659717
LOC_Os01g41430,5.1,150.1,24.770491803278688,4.6305506076019425
LOC_Os01g42190,0.0,81.7,82.7,6.369815424283912
LOC_Os01g42370,0.9,21.0,11.578947368421053,3.5334322000810743
LOC_Os01g42380,14.2,168.5,11.151315789473685,3.479142044580121
LOC_Os01g42860,65.9,358.8,5.378176382660687,2.4271170706100214
LOC_Os01g43080,4.3,58.3,11.18867924528302,3.4839678399828045
LOC_Os01g43710,21.3,91.3,4.139013452914798,2.0492869377254697
LOC_Os01g43774,1.2,82.3,37.86363636363636,5.24274106672825
LOC_Os01g43890,10.5,143.4,12.556521739130435,3.6503649759427956
LOC_Os01g44050,12.1,116.9,9.0,3.169925001442312
LOC_Os01g45100,0.0,8.6,9.6,3.263034405833794
LOC_Os01g45110,16.9,380.5,21.312849162011176,4.413651564457637
LOC_Os01g45360,4.4,43.4,8.222222222222221,3.039528364186637
LOC_Os01g45640,3.4,17.2,4.136363636363636,2.0483630215613986
LOC_Os01g45910,27.0,118.0,4.25,2.0874628412503395
LOC_Os01g46440,32.6,380.0,11.339285714285714,3.503257859601924
LOC_Os01g46460,0.0,27.4,28.4,4.82781902461732
LOC_Os01g46600,0.0,19.3,20.3,4.343407822297814
LOC_Os01g47290,0.9,113.6,60.31578947368421,5.9144638153133196
LOC_Os01g47300,0.0,35.7,36.7,5.197708157955851
LOC_Os01g47760,114.0,477.3,4.159130434782608,2.056281930154568
LOC_Os01g48000,6.8,63.0,8.205128205128206,3.0365258760251144
LOC_Os01g48349,0.8,12.3,7.388888888888889,2.8853574340588772
LOC_Os01g49160,24.0,108.5,4.38,2.130930869826449
